Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,rm_employee_id,Loan Status
35462,176123,47 months,7.71%,4353.487194,AD,9 years,Under Mortgage,778644,Not Verified,24-01-2012,Home Renovation,8.735667141,0,12/4/03,,,11,0,351304,0.361212871,23,0,1/10/13,126296.2972,468,???
29098,66195,45 months,11.49%,1817.428493,BB,10 years and above,Under Mortgage,723061,Not Verified,19-01-2010,Pay-off Other Loans,17.67018892,0,29-04-1999,,,7,0,235845,0.824192305,33,0,1/9/12,24581.59849,1297,???
39296,102450,51 months,9.90%,2469.290755,BA,10 years and above,Under Mortgage,925554,Not Verified,29-09-2011,Others,27.62790614,0,10/3/77,,,16,0,137035,0.219917771,36,0,1/2/11,99440.45076,331,???
25556,49434,44 months,10.73%,1363.873728,BC,8 years,Rental,412144,Verified,23-11-2008,Education,13.65308688,0,23-06-1998,46,,11,0,19160,0.301310985,31,0,1/2/12,86.99372813,3776,???
38518,99151,42 months,7.89%,2709.255452,AC,9 years,Under Mortgage,834288,Not Verified,31-12-2009,Others,11.7092191,0,11/11/89,,,14,0,108191,0.146499506,47,0,1/12/12,17934.90545,2461,???
33909,206427,51 months,16.87%,5697.494393,DB,10 years and above,Own,418621,Verified,27-12-2011,Pay-off Other Loans,19.85851077,0,27-05-1998,,,4,0,264944,0.684576353,21,0,1/2/11,209775.4344,3125,???
38542,44071,47 months,6.92%,1073.182823,AB,7 years,Rental,355168,Verified,10/6/10,Others,19.8874232,0,25-10-2001,,,10,0,13149,0.067192045,15,0,1/4/14,1293.622823,3028,???
28314,290076,60 months,19.85%,7661.770337,ED,10 years and above,Under Mortgage,643230,Verified,7/12/11,Pay-off Other Loans,23.41686905,0,15-05-2000,,119,14,1,170129,0.643258886,36,0,1/8/12,267030.0003,2833,???
30770,26305,42 months,14.62%,803.8297704,CD,4 years,Rental,203372,Source Verified,10/8/11,Pay-off Other Loans,3.061620927,0,14-04-2004,45,,9,0,2716,0.573040688,25,0,1/7/13,14758.20977,2432,???
26177,32965,48 months,9.68%,830.9934076,BA,1 year,Rental,842668,Source Verified,16-03-2011,Others,3.435586665,1,10/3/98,24,,6,0,30933,0.688893715,19,0,1/5/14,9056.793408,1042,???
34754,44094,38 months,11.17%,1383.018016,BC,3 years,Own,722881,Not Verified,27-08-2011,Others,13.56518251,0,9/10/98,,,4,0,97843,0.957895028,20,0,1/2/14,9908.128016,3953,???
33777,197883,48 months,11.16%,5130.095617,BB,10 years and above,Other,737614,Not Verified,28-08-2009,Pay-off Other Loans,11.22240022,0,2/10/94,,,10,0,324945,0.306744774,20,0,1/5/12,5130.095617,3067,???
29694,132196,44 months,12.55%,3764.057892,CA,Less than 1 year,Rental,433910,Not Verified,6/4/09,Marriage,13.53408619,0,9/2/03,,,6,0,89501,0.589049833,14,0,1/11/10,93735.58789,941,???
30836,219911,44 months,6.88%,5668.82236,AC,10 years and above,Under Mortgage,662317,Source Verified,1/10/11,Pay Credit Card Bill,8.384978883,0,23-10-1996,,,10,0,34457,0.385139749,27,0,1/12/14,32478.46236,3961,???
32064,275173,40 months,12.15%,8400.374413,CA,3 years,Under Mortgage,1157764,Verified,14-02-2011,Pay-off Other Loans,17.56286408,0,19-10-1984,23,,9,0,408281,0.647198053,33,0,1/3/13,119657.2344,951,???
28893,60660,41 months,17.51%,1976.421877,DD,3 years,Rental,366773,Not Verified,9/12/11,Pay Credit Card Bill,7.817417975,2,4/3/03,2,,1,0,64366,0.826244848,10,0,1/8/13,11470.63188,267,???
36566,87879,44 months,8.99%,2352.006197,AE,5 years,Own,1039331,Not Verified,12/1/10,Home Renovation,8.522891155,0,9/8/94,,,5,0,233701,0.518953883,17,0,1/7/13,2603.026197,1378,???
27183,131948,36 months,14.21%,4522.900786,ED,4 years,Under Mortgage,900339,Not Verified,21-01-2008,Pay-off Other Loans,19.90281056,0,25-12-2001,38,0,16,0,58001,0.464551213,34,0,1/4/09,5625.650786,971,???
25378,55145,40 months,10.98%,1652.596278,BC,Less than 1 year,Rental,329327,Verified,8/9/11,Pay-off Other Loans,3.464035796,0,21-05-2008,,,8,0,33305,0.279218632,16,0,1/6/13,30046.23628,3873,???
25353,10827,42 months,7.54%,294.0911721,AB,1 year,Rental,401485,Not Verified,27-04-2008,Medical,2.235416185,0,10/10/01,,,13,0,52576,0.14904876,14,0,1/10/10,25.63,3629,???
30029,171410,60 months,20.90%,4627.74527,FC,2 years,Under Mortgage,1221750,Not Verified,10/9/11,Others,16.17856244,0,29-12-1997,,,10,0,269823,0.968467857,18,0,1/1/12,165997.0853,3591,???
32009,109962,46 months,13.16%,3056.887691,CC,2 years,Under Mortgage,588876,Not Verified,8/2/11,Pay-off Other Loans,20.36417572,0,29-09-1999,25,,20,0,153954,0.428444721,35,0,1/10/14,3270.177691,3545,???
31549,131884,39 months,10.88%,4029.906746,BD,3 years,Rental,991656,Source Verified,2/3/11,Pay-off Other Loans,6.90659467,0,17-07-1999,27,,10,0,74495,0.365657857,22,0,1/8/13,41277.44675,3038,???
24006,49516,38 months,12.06%,1574.169185,BE,2 years,Rental,564914,Not Verified,20-07-2011,Pay-off Other Loans,10.80289434,2,31-05-1993,17,,6,0,55723,0.49854491,25,0,1/5/13,22971.58918,264,???
31501,121136,48 months,15.85%,3424.003499,EA,Less than 1 year,Under Mortgage,552205,Source Verified,5/4/09,Home Renovation,14.40036205,0,9/10/04,28,,9,0,130559,0.487827353,17,224.6775647,1/3/13,3462.723499,1185,???
30504,76995,48 months,9.73%,1942.9782,BA,6 years,Under Mortgage,728257,Verified,20-02-2011,Purchase Car,23.02361544,0,16-06-1970,,,16,0,169710,0.46766953,21,0,1/1/15,2118.5382,1728,???
25471,165192,46 months,6.74%,4084.670675,AD,3 years,Under Mortgage,402425,Source Verified,7/1/11,Start Business,2.60580275,0,24-06-2003,,,5,0,3809,0.01280421,9,239.6615133,1/10/14,4255.060675,3708,???
28316,35181,48 months,10.35%,898.1776829,BC,8 years,Rental,412032,Source Verified,14-05-2011,Install Solar Panel,18.21427196,0,31-01-2000,,,11,0,56199,0.762876992,18,0,1/12/12,898.1776829,3628,???
29121,109931,53 months,18.89%,3073.886174,FC,4 years,Rental,375763,Source Verified,21-04-2011,Start Business,19.67559835,0,21-03-2008,,,6,0,38252,0.571668216,10,0,1/4/14,9180.866174,1212,???
34912,230801,39 months,13.84%,7382.210992,CD,3 years,Rental,926912,Verified,9/12/09,Pay-off Other Loans,18.77801115,0,6/2/02,35,,11,0,287563,0.914766359,24,0,1/12/12,6923.400992,2698,???
24094,44116,45 months,11.28%,1206.879846,BE,10 years and above,Rental,475421,Source Verified,26-05-2011,Pay-off Other Loans,9.397716017,0,21-03-2000,32,94,4,1,28271,0.807978939,19,0,1/12/14,1451.629846,1534,???
34670,37435,57 months,16.23%,946.2978127,DE,4 years,Under Mortgage,370764,Verified,30-05-2011,Agriculture,24.57363378,0,29-11-2006,,,7,0,94068,0.838598651,15,0,1/10/11,34479.68781,62,???
27661,74625,43 months,10.78%,2099.865141,BB,Less than 1 year,Under Mortgage,455217,Source Verified,3/8/11,Pay-off Other Loans,6.374293463,1,22-03-2000,8,,10,0,81456,0.329429659,21,0,1/2/15,2225.705141,2639,???
38273,165091,54 months,17.67%,4453.594287,DD,10 years and above,Under Mortgage,683317,Verified,24-11-2011,Pay-off Other Loans,15.52655409,0,24-12-1996,,,11,0,134150,0.818893778,26,0,1/7/12,138699.0243,680,???
31555,275127,48 months,12.61%,7327.818152,CA,Less than 1 year,Rental,828014,Not Verified,27-04-2010,Pay-off Other Loans,23.19267654,0,23-07-1986,,,16,0,318460,0.658288506,37,0,1/3/14,8034.568152,1134,???
38554,79103,38 months,12.16%,2518.510333,BE,6 years,Rental,548163,Source Verified,14-09-2011,Start Business,4.980469086,0,5/9/04,,,3,0,54209,0.654799328,4,0,1/3/12,2518.510333,3516,???
24421,99094,44 months,10.06%,2702.211378,BB,1 year,Own,394815,Not Verified,6/5/11,Pay-off Other Loans,30.39436046,0,17-03-2007,,,12,0,41281,0.302916915,16,0,1/3/13,64124.67138,3828,???
32961,22083,43 months,14.14%,657.5151802,CE,3 years,Rental,203424,Not Verified,25-05-2010,Pay-off Other Loans,2.600516763,0,25-02-2007,,,3,0,12720,0.570250805,7,0,1/11/13,761.1351802,2542,???
38509,11135,47 months,13.64%,307.1053896,CA,7 years,Under Mortgage,594143,Source Verified,29-12-2011,Others,23.86327999,0,18-08-1999,24,,9,0,91848,0.773953451,14,0,1/11/13,7861.46539,338,???
33437,165153,39 months,14.84%,5363.03364,CC,2 years,Under Mortgage,815186,Source Verified,14-12-2011,Pay Credit Card Bill,13.03570641,0,14-03-2002,,111,9,1,82281,0.779536782,17,0,1/2/15,5445.31364,799,???
33316,34907,39 months,11.47%,1076.377357,CE,Less than 1 year,Own,163061,Not Verified,1/9/07,Start Business,12.54566344,0,26-07-2004,0,0,17,0,31006,0.541163057,19,0,1/5/08,1076.377357,2598,???
27135,242185,60 months,13.64%,5589.819321,CD,10 years and above,Rental,869616,Verified,24-04-2011,Others,7.143527674,0,27-04-1981,,,10,0,47698,0.067538201,26,0,1/1/15,79237.56932,663,???
28479,142935,45 months,16.16%,4256.320824,DE,4 years,Under Mortgage,1008435,Not Verified,14-10-2009,Pay-off Other Loans,23.39347618,0,11/2/04,85,,14,0,646263,0.791290653,22,0,1/6/13,4536.380824,72,???
27298,43870,40 months,14.35%,1386.283296,CB,2 years,Rental,175351,Not Verified,16-12-2011,Install Solar Panel,14.57577822,1,21-01-1999,16,,4,0,3043,0.754622363,28,155.4048186,1/9/14,1040.003296,1236,???
29780,164984,49 months,19.71%,4928.249923,EE,7 years,Rental,330713,Verified,1/9/11,Home Renovation,15.0580822,0,21-12-2001,30,,4,0,27205,0.307953305,10,0,1/1/13,112549.3899,3897,???
32052,19785,39 months,5.47%,554.9041855,AA,Not available,Own,329851,Not Verified,7/11/10,Start Business,23.85644926,0,10/8/74,,,8,0,329777,0.224698571,22,0,1/12/13,500.4541855,2484,???
39584,263928,53 months,16.40%,7032.315338,EA,6 years,Under Mortgage,981212,Verified,28-02-2011,Pay Credit Card Bill,12.06721217,0,26-10-2000,,,11,0,80254,0.474425209,37,0,1/7/13,1199.125338,3582,???
32334,220196,37 months,14.11%,7373.423739,CC,10 years and above,Rental,841568,Verified,1/11/10,Pay-off Other Loans,16.37496481,0,20-07-2000,,,9,0,242292,0.83386993,12,0,1/11/13,7914.843739,1527,???
32028,24085,48 months,7.40%,581.2088409,AD,1 year,Rental,395104,Not Verified,16-07-2011,Home Renovation,14.01014386,0,8/9/04,,,5,0,2566,0.112578971,9,0,1/2/14,12090.39884,3397,???
25835,274936,53 months,17.36%,7463.861478,EC,10 years and above,Under Mortgage,997512,Verified,18-10-2010,Pay-off Other Loans,21.84983302,0,22-05-2003,,,19,0,178323,0.423927717,36,0,1/9/12,169546.6615,3607,???
31800,62723,47 months,6.14%,1504.700647,AC,5 years,Under Mortgage,429285,Source Verified,8/11/10,Pay-off Other Loans,16.95664874,0,7/10/00,,,11,0,28068,0.031112705,12,0,1/8/14,3557.080647,75,???
30275,116308,52 months,21.20%,3437.616102,GD,Less than 1 year,Under Mortgage,1208698,Source Verified,10/3/11,Pay-off Other Loans,14.05618594,0,27-01-1985,36,,35,0,614819,0.441773148,76,0,1/4/13,69168.5561,3823,???
39118,274987,56 months,13.81%,6688.720872,CD,10 years and above,Under Mortgage,1148576,Verified,7/5/11,Marriage,16.39673933,0,1/4/94,,,9,0,189923,0.64663425,33,0,1/7/13,6381.600872,3223,???
33630,109960,42 months,15.78%,3423.875913,FC,10 years and above,Under Mortgage,794685,Not Verified,26-01-2008,Start Business,28.03778628,0,18-02-1996,0,114,9,1,661896,0.527820036,22,0,1/2/09,3423.875913,1739,???
32847,164918,45 months,10.31%,4434.18292,BC,Not available,Under Mortgage,1302059,Verified,2/2/11,Pay-off Other Loans,15.02102883,0,20-10-1988,,,10,0,452224,0.529924163,15,0,1/9/14,4578.83292,1698,???
32573,72070,48 months,10.73%,1853.298006,BB,Less than 1 year,Rental,516283,Not Verified,2/12/11,Pay-off Other Loans,18.17384711,0,11/12/00,60,,8,0,207521,0.486914223,19,0,1/2/14,46657.39801,2208,???
31688,110092,53 months,18.70%,3066.781524,EC,2 years,Under Mortgage,1058534,Verified,16-08-2011,Home Renovation,19.09606064,0,24-07-1994,,,23,0,185107,0.301013558,52,0,1/12/11,98482.98152,817,???
30552,110138,45 months,14.63%,3194.690518,EE,2 years,Rental,738650,Not Verified,24-10-2007,Home Renovation,0.744020425,3,31-05-1978,9,0,5,0,11419,0.148142607,18,0,1/6/11,3237.810518,968,???
30009,126574,46 months,12.66%,3487.252013,CA,3 years,Rental,506347,Not Verified,10/2/09,Pay-off Other Loans,15.63103023,0,28-05-2003,,,14,0,127570,0.584994416,21,0,1/1/11,49260.56201,2390,???
25192,26298,40 months,14.34%,830.9379415,CE,1 year,Rental,415368,Not Verified,26-11-2009,Pay-off Other Loans,20.74740588,0,19-02-2003,38,,4,0,89906,0.612214536,9,0,1/2/13,897.8179415,2599,???
39782,33141,45 months,7.64%,849.3247668,AD,10 years and above,Under Mortgage,1215580,Verified,15-11-2010,Home Renovation,20.32343621,0,23-05-1991,,,15,0,573817,0.673429665,26,0,1/11/13,8935.644767,2024,???
35908,110086,44 months,9.45%,2970.113909,BC,10 years and above,Under Mortgage,973936,Verified,5/2/11,Pay-off Other Loans,0.787173318,0,14-04-1997,,,8,0,44190,0.394944995,38,0,1/8/14,3172.073909,3729,???
31620,140173,46 months,12.56%,3854.75315,BD,3 years,Under Mortgage,521279,Verified,9/11/11,Pay Credit Card Bill,5.279765361,0,11/4/06,61,,5,0,57259,0.353889709,5,0,1/2/15,13125.99315,2156,???
35236,384976,49 months,16.43%,10836.12766,EA,Less than 1 year,Own,830583,Verified,15-03-2011,Pay-off Other Loans,10.30117749,2,14-07-1991,8,,16,0,5854,0.024526755,20,0,1/3/10,391670.4277,2954,???
39675,35721,45 months,9.75%,950.9245891,AE,Less than 1 year,Rental,80698,Not Verified,4/6/09,Pay-off Other Loans,13.63731993,0,21-10-1997,,,5,0,57427,0.349217719,8,159.7007173,1/9/11,261.9945891,177,???
34575,219886,60 months,11.70%,4858.32999,BC,2 years,Rental,1323764,Source Verified,1/12/11,Others,6.890983319,0,13-10-2002,57,,7,0,8517,0.024933473,20,0,1/9/15,4858.32999,152,???
26842,44173,43 months,11.19%,1251.577882,BC,1 year,Under Mortgage,380979,Not Verified,23-06-2011,Pay-off Other Loans,7.513009718,0,17-12-2005,,,11,0,93720,0.694001947,19,0,1/3/14,1251.577882,181,???
24408,16412,44 months,11.08%,455.6180925,BD,2 years,Rental,355069,Source Verified,18-04-2010,Holiday,24.14354912,0,3/5/98,,,10,0,76512,0.607974046,17,0,1/10/13,1574.648093,2364,???
38006,104352,60 months,19.61%,2742.343322,EC,10 years and above,Rental,546911,Source Verified,11/12/11,Pay-off Other Loans,16.76228443,0,12/6/99,,117,6,1,94367,0.552611126,14,0,1/4/15,45815.48332,835,???
31032,187560,55 months,18.10%,5042.405976,EA,Less than 1 year,Rental,384505,Verified,16-06-2011,Pay-off Other Loans,17.16662802,0,30-05-1995,24,,8,0,60900,0.81086903,21,0,1/6/11,5042.405976,1362,???
29094,88177,45 months,5.41%,2169.568381,AA,10 years and above,Under Mortgage,386657,Not Verified,23-05-2011,Pay-off Other Loans,11.45966437,0,12/1/91,,,7,0,40586,0.174540308,24,0,1/10/12,69535.10838,1294,???
26868,54979,47 months,12.16%,1476.127274,CA,9 years,Rental,938845,Not Verified,10/2/11,Others,20.95904704,0,27-11-1984,,,18,0,216370,0.65141809,34,0,1/11/14,1598.227274,2226,???
40217,69231,48 months,14.34%,1903.666204,CD,Less than 1 year,Rental,330712,Not Verified,12/9/10,Pay-off Other Loans,8.464631426,0,21-03-2000,35,,8,0,66922,0.602519549,10,0,1/8/14,2171.516204,1033,???
38182,32914,42 months,11.61%,957.3597423,BD,8 years,Rental,369488,Not Verified,1/6/11,Home Renovation,20.69575139,0,10/9/05,,,8,0,20502,0.254531095,11,0,1/11/14,1053.829742,3730,???
40306,131830,60 months,11.06%,2870.511661,BC,Not available,Under Mortgage,593021,Verified,12/9/11,Others,20.45384371,0,8/5/94,,,13,0,376798,0.516026268,31,0,1/9/15,2870.511661,718,???
40323,65804,42 months,16.42%,2070.369236,EA,3 years,Rental,312853,Not Verified,23-02-2010,Agriculture,15.54377564,0,6/8/98,,,3,0,87198,0.997054474,13,0,1/8/12,25850.71924,3982,???
25903,21920,60 months,12.10%,488.6580392,BE,3 years,Under Mortgage,396772,Not Verified,27-06-2011,Pay-off Other Loans,4.793944733,0,19-01-1991,,,5,0,55123,0.64283813,9,0,1/9/15,488.6580392,1897,???
39713,220063,60 months,11.81%,4873.776266,BC,10 years and above,Under Mortgage,1058690,Verified,12/11/11,Pay-off Other Loans,22.44289738,0,24-01-1986,,,9,0,244242,0.601925529,40,0,1/9/15,4873.776266,3354,???
37884,139325,43 months,8.99%,3801.789282,AE,10 years and above,Under Mortgage,955911,Not Verified,11/1/12,Pay-off Other Loans,12.04870294,1,7/5/00,24,,15,0,312251,0.375702785,38,0,1/4/15,12718.60928,1568,???
29245,78123,39 months,8.84%,2311.957045,AE,3 years,Rental,333289,Not Verified,6/7/11,Others,13.87925964,0,13-12-2000,,,2,0,40284,0.257091286,10,0,1/8/14,2471.677045,1271,???
34302,123003,37 months,12.39%,4016.549977,BD,8 years,Rental,387526,Not Verified,18-11-2009,Pay-off Other Loans,10.72409156,0,22-06-1992,,,9,0,194471,0.778071968,19,0,1/10/12,3303.309977,470,???
26400,131907,60 months,16.15%,3218.409406,DE,2 years,Rental,528236,Source Verified,14-04-2011,Pay-off Other Loans,15.44135035,0,21-04-2002,,,12,0,116598,0.933942438,19,0,1/9/15,3218.409406,3751,???
33859,266691,39 months,11.31%,8203.188923,BE,10 years and above,Under Mortgage,838581,Verified,8/6/10,Pay-off Other Loans,11.27278112,0,20-07-1994,,,16,0,211350,0.336753798,48,0,1/5/12,33669.39892,1663,???
39555,162421,38 months,13.15%,5248.608997,CA,6 years,Under Mortgage,465132,Source Verified,5/7/11,Purchase Car,20.35206059,0,11/12/97,74,,18,0,119177,0.336803239,46,0,1/9/11,163811.299,663,???
24091,132157,48 months,7.44%,3191.925628,AD,8 years,Under Mortgage,1547352,Source Verified,14-02-2011,Pay-off Other Loans,9.927951027,0,15-01-1991,,,10,0,1108220,0.488675846,31,0,1/1/15,3493.105628,643,???
26935,88078,36 months,9.47%,2820.36415,AE,Less than 1 year,Rental,495028,Verified,1/6/09,Home Renovation,1.226186936,0,17-09-2002,,,4,0,366,0.006462,11,0,1/4/12,3014.18415,3833,???
38283,187196,45 months,7.80%,4811.465483,AE,5 years,Under Mortgage,1521290,Verified,7/6/10,Home Renovation,6.121207787,0,29-09-1999,,,10,0,47198,0.27967679,37,0,1/5/12,226.38,3651,???
36426,16412,48 months,11.04%,424.4952291,BD,10 years and above,Under Mortgage,948662,Not Verified,18-03-2010,Medical,20.20182904,0,15-06-1976,,,12,0,38064,0.530823388,35,0,1/5/13,5114.235229,1446,???
29192,132055,40 months,10.26%,3911.959938,CA,2 years,Under Mortgage,1064519,Not Verified,29-01-2008,Home Renovation,5.735983644,0,28-03-1995,77,0,11,0,209560,0.299696489,16,0,1/3/11,3937.589938,570,???
36026,22159,41 months,14.10%,684.1960399,CC,Less than 1 year,Under Mortgage,276739,Source Verified,17-10-2011,Home Renovation,17.5176053,0,12/3/08,,,8,0,76108,0.519225935,13,0,1/1/15,749.0960399,766,???
37908,131818,40 months,12.42%,4041.320903,BE,8 years,Rental,1915034,Source Verified,16-10-2009,Education,6.010810111,0,23-02-1985,,,7,0,423054,0.915749192,12,0,1/12/12,4215.340903,568,???
32597,85340,43 months,12.27%,2462.620272,BE,7 years,Under Mortgage,466586,Not Verified,14-05-2009,Pay Credit Card Bill,18.0263892,0,4/10/02,,,5,0,160576,0.77791234,12,0,1/2/10,2462.620272,2380,???
28304,275140,60 months,17.85%,6963.977757,FA,5 years,Under Mortgage,866207,Source Verified,9/1/11,Buy House,11.41922314,0,3/10/03,,,15,0,434092,0.697099277,22,0,1/12/10,6963.977757,3379,???
35971,61532,44 months,9.55%,1663.100443,BA,6 years,Rental,476943,Not Verified,5/5/11,Others,11.43523943,0,7/3/05,,,6,0,149753,0.842436278,14,0,1/12/13,24273.49044,2343,???
36772,176138,45 months,6.74%,4440.457432,AB,4 years,Under Mortgage,1064954,Source Verified,23-07-2011,Agriculture,5.02158602,0,5/5/05,,,11,0,18675,0.020475952,21,0,1/10/14,25942.81743,783,???
34771,61799,40 months,7.83%,1760.402544,AD,3 years,Rental,355411,Source Verified,23-12-2011,Install Solar Panel,2.530333524,0,5/6/06,,,4,0,32183,0.244514472,7,0,1/2/15,1720.802544,161,???
29761,219964,59 months,19.57%,5832.858545,EC,Less than 1 year,Rental,704121,Verified,15-11-2011,Pay-off Other Loans,19.64792312,0,5/3/01,27,,10,0,99388,0.745558737,16,0,1/11/13,152371.5585,2578,???
38357,131867,60 months,10.44%,2830.537883,BC,4 years,Rental,656295,Source Verified,30-04-2011,Others,16.21966786,0,14-12-2003,59,,10,0,79357,0.187082056,23,0,1/9/15,2830.537883,86,???
26531,98848,42 months,13.93%,2986.966399,CD,Less than 1 year,Rental,463890,Not Verified,15-03-2010,Pay-off Other Loans,23.5843553,0,23-02-2004,26,,3,0,101559,0.916901162,12,0,1/6/13,6466.376399,2026,???
34657,110072,60 months,19.11%,2862.08468,ED,4 years,Rental,1003548,Not Verified,17-06-2011,Agriculture,18.44224578,1,5/5/02,20,,12,0,105679,0.306758247,17,0,1/9/15,2862.08468,1925,???
30322,263912,37 months,8.69%,8155.992471,AE,10 years and above,Under Mortgage,1366576,Verified,5/9/11,Pay-off Other Loans,17.8386278,0,9/11/86,,,9,0,208592,0.722823878,40,0,1/1/13,163149.1825,3511,???
25853,22139,37 months,14.53%,745.914331,CD,1 year,Under Mortgage,610855,Source Verified,4/9/10,Others,16.54428183,0,3/11/76,41,,5,0,17002,0.361653895,9,0,1/8/13,832.264331,806,???
34785,110123,44 months,8.74%,2934.021645,AD,3 years,Under Mortgage,837843,Not Verified,3/12/09,Home Renovation,4.672500935,0,7/12/95,35,,14,0,243103,0.208494725,22,0,1/4/12,15435.41164,2000,???
26427,88149,60 months,17.32%,2205.760294,EC,1 year,Rental,380520,Not Verified,1/7/10,Pay-off Other Loans,22.38749313,0,13-10-1997,,66,13,2,71838,0.853507513,23,0,1/6/15,2339.740294,1756,???
26571,65919,47 months,7.77%,1631.251687,AE,9 years,Under Mortgage,578979,Source Verified,25-07-2010,Agriculture,0.779592985,0,22-06-1999,,,8,0,4468,0.021045588,19,0,1/4/14,1721.891687,765,???
39139,109979,52 months,19.25%,3134.473956,ED,5 years,Own,650214,Not Verified,22-08-2011,Others,23.05391323,3,25-10-1995,14,,16,0,322658,0.86604471,47,0,1/6/13,69368.33396,3855,???
28420,138740,60 months,14.27%,3247.368915,CB,10 years and above,Under Mortgage,708013,Source Verified,9/11/11,Pay-off Other Loans,15.78656176,0,20-01-1998,,,11,0,53438,0.259794794,34,0,1/9/15,3247.368915,1211,???
